Time,Temp,Humidity,RawGas,CorrectedGas,AQI,PredictedAQI,AQI_prev1,AQI_prev2,delta_AQI,delta2_AQI
716,35.7,31.5,221,211.3,9,6,9.0,10.0,0.0,1.0
718,35.7,31.4,220,210.5,8,5,9.0,9.0,-1.0,-1.0
720,35.7,31.4,220,210.5,8,5,8.0,9.0,0.0,1.0
722,35.7,31.4,219,209.5,7,4,8.0,8.0,-1.0,-1.0
724,35.7,31.4,219,209.5,7,4,7.0,8.0,0.0,1.0
726,35.8,31.4,218,208.2,6,3,7.0,7.0,-1.0,-1.0
728,35.8,31.4,218,208.2,6,3,6.0,7.0,0.0,1.0
773,36.0,31.1,230,219.3,15,17,6.0,6.0,9.0,9.0
775,35.9,31.5,274,261.0,50,69,15.0,6.0,35.0,26.0
777,35.9,31.5,311,296.2,80,113,50.0,15.0,30.0,-5.0
779,35.8,31.4,339,323.7,102,132,80.0,50.0,22.0,-8.0
782,35.7,31.4,359,343.5,119,145,102.0,80.0,17.0,-5.0
784,35.6,31.4,375,359.5,132,156,119.0,102.0,13.0,-4.0
786,35.6,31.4,389,372.9,143,165,132.0,119.0,11.0,-2.0
788,35.6,31.4,400,383.4,152,173,143.0,132.0,9.0,-2.0
791,35.6,31.4,409,392.1,160,181,152.0,143.0,8.0,-1.0
793,35.5,31.4,417,400.5,166,186,160.0,152.0,6.0,-2.0
795,35.5,31.4,400,384.2,153,166,166.0,160.0,-13.0,-19.0
797,35.5,31.4,362,347.7,122,117,153.0,166.0,-31.0,-18.0
800,35.5,31.4,330,316.9,96,79,122.0,153.0,-26.0,5.0
802,35.5,31.4,307,294.9,78,64,96.0,122.0,-18.0,8.0
804,35.5,31.5,290,278.3,65,55,78.0,96.0,-13.0,5.0
806,35.6,31.5,278,266.3,55,48,65.0,78.0,-10.0,3.0
808,35.6,31.4,268,256.9,46,40,55.0,65.0,-9.0,1.0
810,35.6,31.4,260,249.2,40,34,46.0,55.0,-6.0,3.0
812,35.6,31.4,253,242.5,35,31,40.0,46.0,-5.0,1.0
814,35.6,31.4,247,236.8,30,26,35.0,40.0,-5.0,0.0
816,35.6,31.4,242,232.0,25,20,30.0,35.0,-5.0,0.0
818,35.6,31.4,238,228.1,23,19,25.0,30.0,-2.0,3.0
820,35.7,31.4,235,224.8,20,17,23.0,25.0,-3.0,-1.0
822,35.7,31.4,231,221.0,17,13,20.0,23.0,-3.0,0.0
824,35.7,31.4,229,219.1,15,11,17.0,20.0,-2.0,1.0
826,35.7,31.4,226,216.2,13,9,15.0,17.0,-2.0,0.0
828,35.7,31.4,223,213.4,10,6,13.0,15.0,-3.0,-1.0
830,35.7,31.4,221,211.4,9,5,10.0,13.0,-1.0,2.0
832,35.8,31.4,219,209.1,7,3,9.0,10.0,-2.0,-1.0
10,36.5,31.0,269,254.3,45,57,7.0,9.0,38.0,40.0
12,36.4,31.0,338,320.1,100,147,45.0,7.0,55.0,17.0
14,36.4,31.1,394,372.8,143,197,100.0,45.0,43.0,-12.0
16,36.3,31.1,436,413.3,177,225,143.0,100.0,34.0,-9.0
19,36.2,31.1,468,444.5,203,247,177.0,143.0,26.0,-8.0
21,36.1,31.1,496,472.0,226,267,203.0,177.0,23.0,-3.0
